Kategorie: Alle Kategorien

Woche,Python: (Deutschland),Java: (Deutschland),JavaScript: (Deutschland)
2024-06-02,77,39,36
2024-06-09,74,36,33
2024-06-16,69,36,32
2024-06-23,68,36,30
2024-06-30,69,34,29
2024-07-07,73,38,32
2024-07-14,70,35,31
2024-07-21,71,34,30
2024-07-28,69,32,31
2024-08-04,71,33,31
2024-08-11,67,30,28
2024-08-18,70,32,32
2024-08-25,65,31,30
2024-09-01,66,32,30
2024-09-08,68,32,30
2024-09-15,67,32,31
2024-09-22,68,42,30
2024-09-29,59,27,26
2024-10-06,73,33,31
2024-10-13,81,38,34
2024-10-20,86,40,32
2024-10-27,73,37,29
2024-11-03,82,42,31
2024-11-10,80,43,29
2024-11-17,77,43,30
2024-11-24,77,44,30
2024-12-01,76,43,29
2024-12-08,77,39,28
2024-12-15,70,34,28
2024-12-22,36,21,18
2024-12-29,42,22,19
2025-01-05,70,32,27
2025-01-12,73,37,30
2025-01-19,77,39,31
2025-01-26,75,36,30
2025-02-02,75,36,32
2025-02-09,72,34,31
2025-02-16,75,33,31
2025-02-23,69,31,27
2025-03-02,68,31,29
2025-03-09,71,31,28
2025-03-16,68,30,28
2025-03-23,69,32,26
2025-03-30,63,31,26
2025-04-06,65,33,27
2025-04-13,60,31,25
2025-04-20,59,29,27
2025-04-27,56,28,24
2025-05-04,65,29,24
2025-05-11,66,31,26
2025-05-18,67,31,24
2025-05-25,57,27,23
2025-06-01,59,27,23
2025-06-08,60,25,23
2025-06-15,58,26,24
2025-06-22,60,29,25
2025-06-29,58,26,23
2025-07-06,58,28,25
2025-07-13,59,28,24
2025-07-20,57,27,24
2025-07-27,54,25,23
2025-08-03,60,25,25
2025-08-10,54,23,23
2025-08-17,51,23,22
2025-08-24,57,24,23
2025-08-31,53,25,23
2025-09-07,51,24,23
2025-09-14,48,25,22
2025-09-21,53,25,24
2025-09-28,47,24,20
2025-10-05,54,26,21
2025-10-12,59,27,23
2025-10-19,56,32,23
2025-10-26,58,36,23
2025-11-02,66,39,25
